Al,C,Co,Cr,Mn,Mo,N,Nb,Ni,Si,Ti,V,W,YieldStrength
0.04,0.18,19.46,13.44,0.01,3.01,0.04,0.01,0.01,0.01,0.0,0.46,2.35,1123.1
0.04,0.16,10.55,14.26,0.01,4.93,0.03,0.01,0.01,0.01,0.0,0.46,0.0,1405.6
0.04,0.16,15.6,14.56,0.01,4.9,0.05,0.01,0.01,0.01,0.0,0.48,0.0,1529.6
0.04,0.16,15.6,14.56,0.01,4.9,0.05,0.01,0.01,0.01,0.0,0.48,0.0,1474.5
0.04,0.16,16.2,13.56,0.01,4.7,0.04,0.01,0.01,0.01,0.0,0.4,0.0,1274.7
0.13,0.17,11.41,14.48,0.01,5.22,0.12,0.01,0.01,0.01,0.0,0.41,0.0,1536.5
0.03,0.08,13.56,14.48,0.01,4.99,0.07,0.01,0.01,0.01,0.0,0.46,0.0,1316.0
0.03,0.08,13.56,14.48,0.01,4.99,0.07,0.01,0.01,0.01,0.0,0.46,0.0,1322.9
0.03,0.08,13.56,14.48,0.01,4.99,0.07,0.01,0.01,0.01,0.0,0.46,0.0,1295.3
0.05,0.12,13.45,14.4,0.01,4.99,0.03,0.01,0.01,0.01,0.0,0.41,0.0,1322.9
0.03,0.12,13.48,14.52,0.01,5.09,0.03,0.01,0.01,0.01,0.0,0.43,0.0,1515.8
0.05,0.21,13.45,14.58,0.01,5.02,0.02,0.01,0.01,0.01,0.0,0.46,0.0,1529.6
0.05,0.21,13.48,14.6,0.01,5.02,0.02,0.01,0.01,0.01,0.0,0.41,0.0,1405.6
0.05,0.15,13.49,14.48,0.01,5.06,0.15,0.01,0.01,0.01,0.0,0.46,0.0,1164.4
0.03,0.07,13.41,15.54,0.01,4.99,0.03,0.01,0.01,0.01,0.0,0.41,0.0,1281.5
0.03,0.07,13.41,15.54,0.01,4.99,0.03,0.01,0.01,0.01,0.0,0.41,0.0,1343.6
0.07,0.16,13.45,14.36,0.01,5.15,0.03,0.01,0.01,0.01,0.0,0.01,0.0,1460.7
0.05,0.16,13.45,14.34,0.01,5.09,0.04,0.01,0.01,0.01,0.0,0.87,0.0,1550.3
0.05,0.16,13.33,14.36,0.01,3.01,0.03,0.01,0.01,0.01,0.0,0.97,0.0,1240.2
0.03,0.15,13.64,14.36,0.01,3.04,0.03,0.01,0.01,0.01,0.0,0.41,0.0,1233.3
